# psi logA_t_0 f_t_0 tau_t_0 phi_t_0 logL logPrior
3.049852375966536133e+00 -2.129638593846624417e+01 2.441572869358464004e+02 2.965408014399980099e-02 4.191706649480548275e-01 3.868976161785142904e+04 0.000000000000000000e+00
8.277246442204253540e-01 -2.113890759680787212e+01 2.756323217195290454e+02 9.560820614607104181e-03 1.893237970774177326e+00 3.868987728767153749e+04 0.000000000000000000e+00
2.342377691919505178e+00 -2.109940886357224343e+01 2.607576158609051049e+02 1.881672088543541455e-02 5.119973247976685293e+00 3.869418779148394242e+04 0.000000000000000000e+00
2.266564895995943019e+00 -2.101265318079798661e+01 2.609853775705124121e+02 1.025632855226743349e-02 5.388406416995938919e+00 3.869442884076172049e+04 0.000000000000000000e+00
3.101904944257630969e+00 -2.064188742350848926e+01 2.664771465901925467e+02 2.842733128623440523e-03 5.073074703773060301e-02 3.869471009056910407e+04 0.000000000000000000e+00
2.215229037762121322e+00 -2.107223912577794778e+01 2.612322700597217704e+02 1.391415541473503895e-02 4.485430273893957320e+00 3.869485188797281444e+04 0.000000000000000000e+00
2.619256411417230090e+00 -2.061787573059095635e+01 2.553049446206948119e+02 3.652970725314197767e-03 2.430704411208782501e-01 3.869530857054053922e+04 0.000000000000000000e+00
2.857758747172211677e+00 -2.087665461144437629e+01 2.554189500722551998e+02 3.100014280242183520e-03 3.420816221481143837e-01 3.869533308756890619e+04 0.000000000000000000e+00
5.288082017107130772e-01 -2.045210840034571120e+01 1.800299663269134669e+02 1.944178918002494299e-03 2.706212497598077693e+00 3.869552751831408386e+04 0.000000000000000000e+00
3.464381001489593714e-01 -2.094296985238619513e+01 2.329884094141618220e+02 5.499544421327698732e-03 1.433342947390980449e+00 3.869584903528703580e+04 0.000000000000000000e+00
1.011604656811965874e+00 -2.089224708399702735e+01 2.423393453259689636e+02 7.477297266801725614e-03 3.479983228630227465e+00 3.869591891986477276e+04 0.000000000000000000e+00
2.305457209959187015e+00 -2.105248714814318944e+01 2.322750770404071829e+02 9.232042197220402535e-03 6.016237472518027651e+00 3.869593900941366883e+04 0.000000000000000000e+00
2.688094924101802619e+00 -2.087133429076105173e+01 2.380618232242962051e+02 3.710861660272853080e-03 4.414248987908345745e-01 3.869595280777996959e+04 0.000000000000000000e+00
3.946216702818109434e-01 -2.079452625399248333e+01 2.450167077161850102e+02 7.547912947257036202e-03 1.219013535468683740e+00 3.869598075641347532e+04 0.000000000000000000e+00
1.611904517743528054e+00 -2.111038500385517125e+01 2.538881279605813006e+02 1.063104410736904169e-02 4.198680136569978849e+00 3.869598746689171821e+04 0.000000000000000000e+00
2.704478614977672724e+00 -2.106746513903484441e+01 2.518641508298609892e+02 6.314089311314585382e-03 7.538166214599489878e-02 3.869605838171624782e+04 0.000000000000000000e+00
3.105636932204898226e-01 -2.097412313266170969e+01 2.541237206257931405e+02 1.092352621704549380e-02 7.915959962954974838e-01 3.869606602075114643e+04 0.000000000000000000e+00
1.246268680698068287e+00 -2.062562681820702437e+01 2.848738171408257358e+02 3.154391857888893050e-03 2.537650471492867599e+00 3.869621893711934536e+04 0.000000000000000000e+00
1.345251831759941119e+00 -2.044868607708166763e+01 2.750562174648635505e+02 3.193490619667620385e-03 3.296069357274130862e+00 3.869629869653563946e+04 0.000000000000000000e+00
1.101818056782571276e+00 -2.087486351086948844e+01 2.613552560066785873e+02 9.993764867080942235e-03 2.357774653997648961e+00 3.869631162628722086e+04 0.000000000000000000e+00
1.400738067139593035e+00 -2.114593872819925835e+01 2.489762744085736017e+02 8.410854778224841066e-03 3.446119323335059104e+00 3.869631753802823368e+04 0.000000000000000000e+00
1.585629093075734852e+00 -2.050501473512275652e+01 2.602502025113889772e+02 2.363311125693562647e-03 3.598799355194413518e+00 3.869640588768148882e+04 0.000000000000000000e+00
2.485633826454700102e-01 -2.091381409013024140e+01 2.224754170601673877e+02 6.583766909332868997e-03 1.723496467607850802e+00 3.869658034570173186e+04 0.000000000000000000e+00
2.738747745798406186e+00 -2.075975570347329224e+01 2.102625058336966219e+02 3.202892087514132811e-03 6.178381948184545891e-01 3.869659323612530716e+04 0.000000000000000000e+00
2.433416791885159469e+00 -2.046735338169310836e+01 2.843908474601256557e+02 2.313634527887856000e-03 5.278307050553345370e+00 3.869661458955906710e+04 0.000000000000000000e+00
